Year;Catch;TanaTotal;ExplStart;ExplMin;ExplMax;ExplCorrSoft;FemProp;FemPropMin;FemPropMax;UnrepMin;UnrepMed;UnrepMax;Aku+Bais;TanaTot2;AssessMethod;Count_G;Count_M;Count_S;Size_G;Size_M;Size_S;FemProp_G;FemProp_M;FemProp_S;CountUncMin;CountUncMed;CountUncMax
2006;473.2586343;724.3586343;0.45;0.8;1.25;0.2;0.491681285;0.9;1.1;0.2;0.25;0.3;724.3586343;108596;1;;;;;;;;;;;;
2007;1026.303695;1172.303695;0.45;0.8;1.25;0.2;0.771564721;0.9;1.1;0.2;0.25;0.3;1172.303695;100542;1;;;;;;;;;;;;
2008;812.7658321;939.2658321;0.45;0.8;1.25;0.2;0.749136693;0.9;1.1;0.2;0.25;0.3;939.2658321;121860;1;;;;;;;;;;;;
2009;380.5780831;473.0864645;0.45;0.8;1.25;0.2;0.569216138;0.9;1.1;0.2;0.25;0.3;473.0864645;63499;1;;;;;;;;;;;;
2010;536.4406508;657.8115105;0.45;0.8;1.25;0.2;0.606797843;0.9;1.1;0.2;0.25;0.3;657.8115105;87058;1;;;;;;;;;;;;
2011;207.2175655;361.2175655;0.45;0.8;1.25;0.2;0.444244084;0.9;1.1;0.2;0.25;0.3;361.2175655;79342;1;;;;;;;;;;;;
2012;701.0197949;931.9842015;0.45;0.8;1.25;0.2;0.570181728;0.9;1.1;0.2;0.25;0.3;931.9842015;108794;1;;;;;;;;;;;;
2013;486.6272874;675.110139;0.45;0.8;1.25;0.2;0.606604325;0.9;1.1;0.2;0.25;0.3;675.110139;79883;1;;;;;;;;;;;;
2014;593.2033913;813.5605862;0.45;0.8;1.25;0.2;0.568854482;0.9;1.1;0.2;0.25;0.3;813.5605862;99236;1;;;;;;;;;;;;
2015;464.860642;548.2487336;0.45;0.8;1.25;0.2;0.624218842;0.9;1.1;0.2;0.25;0.3;548.2487336;78124;1;;;;;;;;;;;;
2016;518.4548652;704.2300548;0.45;0.8;1.25;0.2;0.615292453;0.9;1.1;0.2;0.25;0.3;704.2300548;84744;1;;;;;;;;;;;;
2017;528.8;0;0.4;0.8;1.25;0.2;0.63703676;0.9;1.1;0.2;0.25;0.3;0;60610;1;;;;;;;;;;;;
2018;546.273;0;0.32;0.8;1.25;0.2;0.571803838;0.9;1.1;0.2;0.25;0.3;0;49349;1;;;;;;;;;;;;
2019;506.6956;0;0.33;0.8;1.25;0.2;0.615292453;0.9;1.1;0.2;0.25;0.3;0;40006;1;;;;;;;;;;;;
2020;348.387;0;0.32;0.8;1.25;0.2;0.620728529;0.9;1.1;0.2;0.25;0.3;0;31591;1;;;;;;;;;;;;
2023;0;0;0;0;0;0;0;0.9;1.1;0.2;0.25;0.3;0;0;2;81;16;0;1.5;3.3;0;0.44;0.5;0;0.6;1;1.4
2024;0;0;0;0;0;0;0;0.9;1.1;0.2;0.25;0.3;0;0;2;65;21;0;1.5;3.3;0;0.44;0.5;0;0.6;1;1.4
2023;0;0;0;0;0;0;0;0.9;1.1;0.2;0.25;0.3;0;0;2;59;20;0;1.5;3.3;0;0.44;0.5;0;1.00625;1.15;1.29375
2024;0;0;0;0;0;0;0;0.9;1.1;0.2;0.25;0.3;0;0;2;3;1;0;1.5;3.3;0;0.33;1;0;1.00625;1.15;1.29375
2025;0;0;0;0;0;0;0;0.9;1.1;0.2;0.25;0.3;0;0;2;22;3;0;1.5;3.3;0;0.533333333;0.666666667;0;1.00625;1.15;1.29375
