SumRiverList;SumTribCatch;SumMSCatch;SumCoastCatch;SumSpawning;AvgOverExpl;AvgMaxTotalExpl
Tana MS;0;8455.0845;5324.41776673594;15144.2823588418;0.366393543529416;0
Maskejohka;527.557842713274;669.975;480.048866318547;1470.45479913237;0.554878206834273;0
Pulmanki;147.87606197266;214.392;90.1233272813686;253.063753340544;0.637420352764972;0
Laksjohka;34.9698529122687;334.9875;128.81672765421;289.052757306519;0.295411258017915;0
Vetsijoki;357.700203960894;1996.5255;882.718038268551;1985.28737808647;0;0.60292595923807
Utsjoki;884.258884093271;2197.518;668.142525443839;814.524236109203;0.754732867223067;0.0976084199277996
Kuoppilasjoki;0;267.99;172.423754510488;663.435560735704;0;0.462355728564998
Leavvajohka;0;656.5755;417.294320803104;1370.54309400886;0;0.665545925283244
Baisjohka;0;348.387;210.232470818848;721.881581660008;0;0.502462904688578
Nilijoki;0;388.5855;116.565215117321;176.476542569417;0.702395390222787;0.130037798562757
Valjohka (alt);0;683.3745;404.920999912762;1208.89051455663;0.317186358915383;0.22929421722799
Akujoki;0;375.186;96.5001854635941;93.5377010913541;0.821561918833365;0.0725753378878541
Anarjohka;325.72700137221;4944.4155;1474.4950006465;1789.61274391595;0.492867550859374;0
Karasjohka;1103.07548930957;2682.5799;1974.65756377767;6071.43888657241;0.516800308506065;0
Iesjohka;1482.75727005019;2235.0366;680.577281447265;791.229063263241;0.48406328541204;0
